Date,France,Germany,"Korea, South",US,United Kingdom
2020-01-22,0,0,1,1,0
2020-01-23,0,0,1,1,0
2020-01-24,2,0,2,2,0
2020-01-25,3,0,2,2,0
2020-01-26,3,0,3,5,0
2020-01-27,3,1,4,5,0
2020-01-28,4,4,4,5,0
2020-01-29,5,4,4,5,0
2020-01-30,5,4,4,5,0
2020-01-31,5,5,11,7,2
2020-02-01,6,8,12,8,2
2020-02-02,6,10,15,8,2
2020-02-03,6,12,15,11,2
2020-02-04,6,12,16,11,2
2020-02-05,6,12,19,11,2
2020-02-06,6,12,23,11,2
2020-02-07,6,13,25,11,3
2020-02-08,11,13,25,11,3
2020-02-09,11,14,28,14,3
2020-02-10,11,14,30,14,8
2020-02-11,11,16,31,15,8
2020-02-12,13,16,35,15,10
2020-02-13,13,17,35,16,10
2020-02-14,13,17,35,16,10
2020-02-15,17,17,37,16,10
2020-02-16,17,17,38,16,17
2020-02-17,17,17,40,16,17
2020-02-18,17,28,43,16,17
2020-02-19,17,28,43,16,17
2020-02-20,17,28,121,16,17
2020-02-21,17,30,222,20,17
2020-02-22,17,30,451,20,17
2020-02-23,17,30,626,20,17
2020-02-24,17,30,859,20,21
2020-02-25,26,31,1009,21,21
2020-02-26,31,42,1295,21,21
2020-02-27,51,62,1801,22,23
2020-02-28,70,64,2372,23,28
2020-02-29,114,95,3193,32,31
2020-03-01,144,146,3783,38,44
2020-03-02,206,175,4393,66,48
2020-03-03,220,212,5244,87,59
2020-03-04,304,278,5697,122,94
2020-03-05,398,498,6164,193,124
2020-03-06,677,687,6770,243,173
2020-03-07,982,817,7220,361,227
2020-03-08,1167,1058,7482,479,294
2020-03-09,1250,1196,7649,548,343
2020-03-10,1839,1477,7814,747,410
2020-03-11,2353,1936,8103,1149,485
2020-03-12,2353,2106,8268,1616,487
2020-03-13,3772,3728,8555,2221,831
2020-03-14,4599,4640,8668,2941,1191
2020-03-15,4635,5852,8747,3052,1207
2020-03-16,6844,7356,9448,4477,1638
2020-03-17,7876,9348,9808,6292,2095
2020-03-18,9285,12460,10037,9210,2825
2020-03-19,11226,15477,10196,14543,2942
2020-03-20,13221,20095,10286,19992,4276
2020-03-21,15038,22530,10441,26450,5385
2020-03-22,19125,25233,11981,34534,6098
2020-03-23,23191,29445,11981,44807,7153
2020-03-24,26974,36386,12664,55475,8813
2020-03-25,30840,41076,12993,67734,10475
2020-03-26,36204,49878,13516,86497,12841
2020-03-27,41106,57871,13999,105407,16059
2020-03-28,46146,66609,14433,126047,18920
2020-03-29,50545,71839,14768,147405,21603
2020-03-30,56164,81030,15047,172686,24670
2020-03-31,65872,88683,15356,201293,28089
2020-04-01,73216,97492,15619,229455,33144
2020-04-02,77875,108341,15973,261943,38117
2020-04-03,85857,117009,16257,295888,43364
2020-04-04,92646,123936,16658,335263,47920
2020-04-05,95854,130407,16883,367344,54539
2020-04-06,101697,133884,17068,400776,59011
2020-04-07,109029,145760,17217,436045,63757
2020-04-08,115396,161945,17360,471614,70338
2020-04-09,123007,173195,17600,510267,75854
2020-04-10,130148,178851,17775,549219,85969
2020-04-11,135377,185044,17934,583726,92112
